OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
37184,Yale POP_MASTER,TG1-062,NA,0,BDK-TG1-062,1379,Hazaragi,8,1986.748047,36.5108,70.2116,BDK,TG1,Sabz Dara,1519,Tagab,????,Badakhshan,??????,15
37227,Yale POP_MASTER,PGM-117,NA,0,KBL-PGM-117,863,Dari,1,1964.399048,34.5296,69.0283,KBL,PGM,Qala Sadiq,104,Paghman,?????,Kabul,????,1
37385,Yale POP_MASTER,YMG-059,NA,0,BDK-YMG-059,1379,Dari,1,2187.11792,36.5673,70.9494,BDK,YMG,Yawagh,1520,Yamgan,?????,Badakhshan,??????,15
37675,Yale POP_MASTER,NJB-065,NA,0,KAP-NJB-065,863,Dari,1,1901.884033,35.0393,69.6243,KAP,NJB,Dahi Qazi,202,Nejrab,?????,Kapisa,??????,2
43167,Yale POP_MASTER,HRT-025,NA,0,HRT-HRT-025,863,Dari,1,928.046875,34.3563,62.1397,HRT,HRT,Tulaba Sofla,3001,Herat,????,Hirat,????,30
1153,Yale POP_MASTER,NIS-068,NA,0,HLM-NIS-068,862,Pashto,2,849.2213745,31.8941,64.721,HLM,NIS,Atta Khan Kalay,3202,Nahr-e-Saraj,??? ????,Hilmand,?????,32
7224,Yale POP_MASTER,GHH-063,NA,0,BDG-GHH-063,862,Pashto,2,911.315918,35.594,63.6975,BDG,GHH,Mir Hamza Taymori,2907,Ghormach,??????,Badghis,??????,29
14929,Yale POP_MASTER,KDK-035,NA,0,JWJ-KDK-035,862,Turkmen,4,318.3785095,36.7723,65.6246,JWJ,KDK,Sal Taq Khord,2703,Khwajadukoh,????? ?????,Jawzjan,??????,27
16048,Yale POP_MASTER,SGR-038,NA,0,GOR-SGR-038,1726,Dari,1,2050.444092,33.6421,63.692,GOR,SGR,Dahi Payen,2110,Saghar,????,Ghor,???,21
18204,Yale POP_MASTER,KHU-002,NA,0,GZN-KHU-002,862,Dari,1,2314.738037,33.6834,68.3902,GZN,KHU,Dahi Nehal,1102,Khwajaumari,????? ????,Ghazni,????,11
19514,Yale POP_MASTER,GLN-126,NA,0,GZN-GLN-126,862,Pashto,2,1929.68396,32.6443,67.6505,GZN,GLN,Shamal Gari,1118,Gelan,?????,Ghazni,????,11
20418,Yale POP_MASTER,MMN-029,NA,0,FYB-MMN-029,862,Uzbek,3,911.4033203,35.9021,64.8187,FYB,MMN,Namad Mal,2801,Maymana,?????,Faryab,??????,28
21379,Yale POP_MASTER,CEL-033,NA,0,BLK-CEL-033,862,Dari,1,402.6813965,36.6597,66.7729,BLK,CEL,Asiyab Sharaf,1813,Chemtal,?????,Balkh,???,18
